127.0.0.1 - - [20/Nov/2019:23:26:43 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:55 +0900] "GET /project/book/* HTTP/1.1" 200 14575
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/css/init.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/js/prefixfree.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/Category/Book/css/buybook.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/image_support/201508270312264232403.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/image_support/left_t08.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/Category/Book/images/buybook/201004261210266218855.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/Category/Book/images/buybook/img_book_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/Category/Book/images/buybook/img_book_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/Category/Book/images/buybook/img_book_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/bottom_long_bar.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/footer_menu_3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/footer_menu_2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/footer_menu_4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/footer_menu_5.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /project/images/footer_menu_6.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:26:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:35:01 +0900] "GET /project/book/* HTTP/1.1" 200 24066
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:35:01 +0900] "GET /project/css/common.css HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:35:01 +0900] "GET /project/css/init.css HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:35:01 +0900] "GET /project/js/prefixfree.min.js HTTP/1.1" 200 6246
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:35:01 +0900] "GET /project/js/common.js HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [20/Nov/2019:23:35:01 +0900] "GET /project/js/jquery-2.1.1.min.js HTTP/1.1" 200 84249
