127.0.0.1 - - [25/Nov/2019:14:16:38 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/css/init.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/js/prefixfree.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/css/buybook.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/book/* HTTP/1.1" 200 23416
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/image_support/201508270312264232403.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/image_support/left_t08.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/201004261210266218855.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/img_book_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/img_book_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/img_book_08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/img_book_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/img_book_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/img_book_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/img_book_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/Category/Book/images/buybook/img_book_07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/bottom_long_bar.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/footer_menu_2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/footer_menu_3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/footer_menu_5.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/footer_menu_6.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:40 +0900] "GET /project/images/footer_menu_4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:16:46 +0900] "POST /project/book/cartInsert.do HTTP/1.1" 200 23575
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:17:12 +0900] "POST /project/book/cartInsert.do HTTP/1.1" 200 23715
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:17:14 +0900] "GET /project/book/cart.do HTTP/1.1" 200 12892
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:17:14 +0900] "GET /project/Category/Book/images/icn_modify.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:17:14 +0900] "GET /project/Category/Book/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:14:17:31 +0900] "GET /project/book/cartDelete.do?cseq=13 HTTP/1.1" 200 11929
