127.0.0.1 - - [15/Nov/2019:10:55:44 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/main.jsp HTTP/1.1" 200 11372
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/js/jquery-ui.min.js HTTP/1.1" 200 239576
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/js/jquery-2.1.1.min.js HTTP/1.1" 200 84249
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/js/prefixfree.min.js HTTP/1.1" 200 6246
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/css/init.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/js/jquery.easing.1.3.js HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/js/common.js HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/main.jpg HTTP/1.1" 200 3132
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/main_BtnL.png HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/main_BtnR.png HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/Category/Book/images/buybook/img_book_02.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/Category/Book/images/buybook/img_book_01.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/js/main.js HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/Category/Book/images/buybook/img_book_03.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/Category/Book/images/buybook/img_book_04.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/Category/Book/images/buybook/img_book_05.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/Category/Book/images/buybook/img_book_06.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/Category/Book/images/buybook/img_book_07.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/Category/Book/images/buybook/img_book_08.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/main_img_02.jpg HTTP/1.1" 200 7973
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/main_img_03.jpg HTTP/1.1" 200 12403
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/main_img_04.jpg HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/main_img_01.jpg HTTP/1.1" 200 13140
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/footer_menu_2.gif HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/bottom_long_bar.gif HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/footer_menu_3.gif HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/footer_menu_4.gif HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/footer_menu_6.gif HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/footer_menu_5.gif HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /project/images/table_bar.gif HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:55:55 +0900] "GET /project/Category/Book/images/buybook/img_book_01.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:56:05 +0900] "GET /project/Category/Member/signup.jsp HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:56:09 +0900] "GET /project/Category/Member/login_main.jsp HTTP/1.1" 404 1165
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:56:32 +0900] "GET /project/Category/Book/images/buybook/img_book_01.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:56:37 +0900] "GET /project/Category/Book/images/buybook/img_book_02.jpg HTTP/1.1" 404 1187
0:0:0:0:0:0:0:1 - - [15/Nov/2019:10:56:41 +0900] "GET /project/Category/Book/images/buybook/img_book_03.jpg HTTP/1.1" 404 1187
